#{"t_start": 1654274605.82717, "env_id": "kelin-v0"}
r,l,t
-21.206543,100,3.491483
-21.822426,100,6.47964
-7.440523,100,9.199467
993.583853,100,11.873354
992.907079,100,14.227788
-16.781545,100,16.40969
-24.804409,100,18.808998
-7.699216,100,21.328419
-18.236907,100,23.795467
-9.909236,100,26.286612
-21.188404,100,28.966625
992.929698,100,31.870056
568.796426,100,34.513856
-247.242088,100,37.183649
-20.324319,100,39.76164
-227.400029,100,42.347362
-7.320222,100,45.024802
-19.876057,100,47.788445
-16.067403,100,50.658554
-14.611841,100,53.238474
-8.988106,100,55.87752
-31.116308,100,58.407298
-11.206541,100,61.037356
-16.993989,100,63.669541
-19.810045,100,66.274143
-20.371362,100,68.884053
-19.178564,100,71.47938
-11.50631,100,74.131162
-30.081012,100,77.027521
-7.416722,100,79.948486
-11.519275,100,82.739664
-20.522788,100,86.335103
-20.236918,100,89.225275
-11.538127,100,93.20251
-30.623198,100,96.09723
-11.590011,100,98.929254
-11.273494,100,101.848548
-8.535219,100,104.905713
-11.510451,100,108.178685
-19.060153,100,110.810152
-17.910591,100,113.637372
-16.80875,100,116.463712
-17.842778,100,119.434251
-18.560125,100,122.107345
-15.887299,100,125.060333
-25.192781,100,127.795527
-9.456125,100,130.468253
-16.598514,100,133.226451
-18.335083,100,136.471395
-9.091561,100,139.189069
-18.794348,100,143.124222
-12.563755,100,146.254726
-8.710127,100,149.221367
70.77972,100,152.366231
-21.609924,100,155.150974
418.799409,100,158.148544
-18.800025,100,160.907345
-21.852289,100,163.61728
-21.387842,100,166.134994
-329.547847,100,168.846707
-19.912549,100,171.688057
-122.672414,100,174.285213
-17.640334,100,176.815996
-21.288983,100,179.391167
-19.192348,100,182.02907
-16.88852,100,184.888118
-120.034058,100,187.567996
-16.746751,100,190.167999
-149.53519,100,192.778176
438.43002,100,195.521473
-12.587558,100,198.441236
-17.145737,100,201.34119
-30.223477,100,204.469882
-18.870268,100,207.240871
-9.681879,100,209.882895
-11.541618,100,212.615396
-9.180475,100,215.765104
993.265838,100,218.402054
-49.191995,100,221.040526
-11.918948,100,223.547511
-19.411034,100,226.324224
-12.815172,100,229.065478
-20.078068,100,232.177099
-20.508179,100,234.995756
-11.194534,100,238.062757
-16.580933,100,240.836987
-21.207772,100,243.333151
-18.081562,100,245.823839
-19.464099,100,248.566721
-12.777804,100,251.046998
-9.469862,100,253.543519
-21.880838,100,256.017897
-14.999164,100,258.662671
-11.645152,100,261.168491
-20.651285,100,263.677946
-15.461332,100,266.157091
-20.552323,100,268.82848
-9.45555,100,271.33673
-15.258262,100,273.782932
-12.187063,100,276.285994
-11.762166,100,278.966082
748.774264,100,281.461652
-9.334038,100,283.965771
-9.646134,100,286.441887
-19.149898,100,289.106885
-9.582917,100,291.607818
-18.578478,100,294.07481
-11.934254,100,296.535728
-16.422602,100,299.159162
-19.909459,100,301.642803
-19.538372,100,304.476392
-20.537839,100,307.557582
-20.311869,100,310.507092
-20.075052,100,313.477789
-15.406455,100,316.428337
-8.435162,100,319.322087
-19.873449,100,322.409137
-20.580604,100,324.975593
-11.299212,100,327.434395
-11.450704,100,329.992559
-9.650658,100,333.189275
-16.609495,100,336.370506
-8.397824,100,339.21331
