#{"t_start": 1654271916.941821, "env_id": "kelin-v0"}
r,l,t
-30.58558,100,2.512755
-10.179367,100,4.733083
-30.955287,100,6.831414
-18.029471,100,8.599075
-11.581782,100,10.848058
-18.601443,100,13.123309
-11.53161,100,15.086828
-14.961526,100,17.291221
-24.10519,100,19.988713
-30.778684,100,22.725644
992.987252,100,25.828788
-20.608124,100,28.431982
-14.48103,100,30.841195
-8.717583,100,33.178279
-30.099149,100,36.039135
-20.003741,100,38.624076
-24.19495,100,41.365033
-18.548001,100,43.911699
-12.568535,100,46.793927
-18.973707,100,49.443744
-19.229092,100,52.102397
-11.486012,100,54.411754
993.146155,100,56.780585
-16.493809,100,59.257983
-18.014842,100,62.097704
-9.936616,100,64.757878
-16.649415,100,67.806453
-22.045982,100,70.398544
-12.091171,100,73.038468
993.134974,100,76.309858
-12.399088,100,78.734322
-9.352577,100,81.213936
-19.984544,100,84.614719
-18.960344,100,87.217817
-21.593361,100,89.917827
-21.611867,100,92.221818
-11.440457,100,94.897484
-19.67684,100,97.433625
-12.011409,100,99.954558
-10.031907,100,102.38696
-12.504185,100,104.891441
-18.858055,100,107.226882
-14.347759,100,109.60067
-20.824404,100,112.580487
992.839616,100,115.190775
-14.665614,100,117.589721
993.353576,100,120.371621
-14.479539,100,122.79276
-16.831816,100,125.341563
-8.666407,100,128.423028
-16.933511,100,132.312568
-7.3929,100,135.343249
-24.499552,100,137.956712
-11.630861,100,140.530514
-10.051603,100,143.408489
-20.785118,100,145.979673
-21.468788,100,148.841608
-21.167363,100,152.063937
-18.033667,100,156.087702
-20.972953,100,160.22734
-29.959662,100,163.940398
992.824971,100,166.924166
-20.677498,100,170.57372
-24.433294,100,174.494052
-20.023134,100,177.769109
-8.478934,100,180.458763
992.766198,100,183.073504
-9.121371,100,185.932242
-85.514114,100,189.825117
-18.416933,100,193.348455
-20.766491,100,196.67029
-11.571688,100,199.382689
-29.612735,100,202.087201
-20.523277,100,204.862225
-19.39594,100,207.327174
-18.852095,100,209.81627
-21.2284,100,212.327061
-19.542588,100,215.448119
-20.652179,100,219.122695
-8.575765,100,221.685055
992.782939,100,224.280231
-9.156573,100,227.240182
-129.234738,100,229.907404
-10.099742,100,232.474028
-15.821514,100,235.243225
-23.796555,100,237.787087
-23.574,100,240.42362
-9.241962,100,242.957313
-10.905758,100,245.674082
992.37072,100,248.230942
-23.690251,100,250.714318
-10.927244,100,253.195095
-11.4514,100,255.716015
-18.811803,100,258.973153
-11.967977,100,262.097647
-21.046819,100,264.750079
-15.704696,100,267.442106
-12.718581,100,270.031162
-20.540236,100,272.606115
-14.076475,100,275.184983
-30.460941,100,277.817004
-18.227954,100,280.273811
-17.925903,100,282.939877
-13.049929,100,285.435125
-8.729964,100,287.848125
-42.968356,100,290.442464
-9.060268,100,293.34686
-29.671044,100,296.805132
-14.368258,100,299.433565
-9.145348,100,301.939796
-8.146113,100,304.536927
-14.404482,100,306.91097
-10.872747,100,309.359222
-19.901124,100,311.773429
-16.360322,100,314.233246
992.684624,100,316.681123
-69.985392,100,319.169924
-16.042658,100,321.62604
-9.281726,100,324.225861
-11.357311,100,327.15891
-21.597728,100,330.732087
-15.959232,100,333.676012
-20.304065,100,336.386097
-8.316983,100,338.944061
-10.637617,100,341.461976
-10.081117,100,343.937847
-14.005646,100,346.501408
-7.168051,100,349.329021
-21.245448,100,352.186749
338.356533,100,354.784837
-17.637074,100,357.259832
752.397186,100,359.781141
-29.734218,100,362.519788
-17.770485,100,365.489776
-18.289964,100,368.30375
-10.878628,100,370.900039
-17.578459,100,373.559716
-16.442349,100,376.100876
-21.209508,100,378.458622
-20.500711,100,380.810891
-19.183709,100,383.188619
-10.850432,100,385.608844
-12.641891,100,387.973496
-11.286973,100,390.640398
-20.911926,100,392.946435
-302.955451,100,395.358715
-16.566878,100,397.782153
-8.16171,100,400.286019
-299.616467,100,402.690852
-19.91063,100,405.180876
-18.638508,100,407.580964
-8.727464,100,409.922793
992.896313,100,412.339846
992.847896,100,414.704509
-8.665243,100,417.031155
-203.177222,100,419.392903
-20.66969,100,421.780779
-30.369396,100,424.124357
-18.530323,100,426.580587
-11.39577,100,428.858122
-8.662728,100,431.270818
-30.386441,100,433.59981
-17.989192,100,435.944803
-11.327354,100,438.270634
-16.656835,100,440.869715
-19.276858,100,443.36077
438.347599,100,445.705714
-163.07551,100,448.190739
-18.488081,100,450.529833
-7.907018,100,452.880728
-17.48359,100,455.250862
-14.81044,100,457.598395
-8.080957,100,459.973412
-20.195967,100,462.429721
-24.451881,100,464.742826
-19.917913,100,467.093346
-20.175667,100,470.100383
-22.040963,100,472.869906
-9.17331,100,475.433305
-24.28388,100,478.529412
-11.508899,100,482.876783
-12.890933,100,486.063248
-20.81147,100,488.892902
-30.555902,100,491.485771
992.995,100,493.94693
-18.3319,100,496.545782
-21.352775,100,499.127747
-9.291946,100,502.457317
-10.948259,100,505.175336
-20.089612,100,507.675859
-16.297354,100,510.422723
-14.893934,100,513.333279
-11.59948,100,516.253213
-16.343432,100,518.804438
-299.498164,100,521.374217
-39.749223,100,523.895425
-11.491958,100,526.416137
-9.331605,100,529.090134
-12.303754,100,531.771796
-11.501235,100,534.767499
-11.690362,100,537.421186
-11.659145,100,539.908177
-17.942797,100,542.55036
-30.679064,100,545.051076
-20.663031,100,547.464194
-85.504953,100,549.869622
-11.639684,100,552.440326
-11.603355,100,554.818432
-14.888768,100,557.230164
-18.547856,100,559.555603
-9.153058,100,561.938101
-9.062001,100,564.448518
-14.902034,100,566.878421
-9.253778,100,569.330266
-20.48474,100,571.8204
-100.316756,100,574.194666
-14.99769,100,576.620568
-17.765536,100,578.936946
-20.609747,100,581.318516
993.131621,100,583.650059
-11.188421,100,586.110078
-10.012865,100,588.420639
-9.319026,100,590.800305
-16.399146,100,593.131014
53.539155,100,595.580297
-110.312663,100,598.125983
-360.022598,100,600.920156
-17.803553,100,603.382964
-16.120196,100,605.812173
-18.253844,100,608.34241
-9.943907,100,611.285047
-15.086417,100,613.670297
-20.811627,100,616.111748
-12.994948,100,618.570094
333.394459,100,620.912922
237.991188,100,623.319124
-9.222548,100,625.673339
-17.488594,100,628.114324
-30.547135,100,631.138886
-12.756582,100,634.330178
-9.176381,100,637.462661
-7.339845,100,640.121672
-16.521757,100,642.879117
-16.435178,100,645.626781
-19.726015,100,648.736564
993.203169,100,651.394968
-11.152176,100,654.790589
-39.898378,100,657.365009
-10.043972,100,660.00405
-10.032438,100,662.449959
992.914178,100,664.919191
-19.929601,100,667.24087
-11.112388,100,669.561535
-17.930473,100,672.029038
-9.984089,100,674.369076
-18.246762,100,676.619899
-14.999667,100,679.103411
-15.765091,100,681.439103
-19.111347,100,683.759127
-8.869723,100,686.356386
-19.193549,100,688.880953
-14.392832,100,691.801197
-17.964735,100,694.578081
-14.246193,100,696.912739
-15.757466,100,699.287857
993.267224,100,701.939794
-8.78511,100,704.480113
-18.351837,100,706.969753
-19.256627,100,709.35281
-253.179402,100,711.811871
-10.006148,100,714.225227
-126.798161,100,716.660875
-7.597076,100,719.058688
-9.167318,100,721.409684
-7.55718,100,723.851156
-20.907212,100,726.579983
-23.869488,100,729.216514
-11.807723,100,731.86597
992.954776,100,734.617774
-19.344113,100,737.078638
-160.092234,100,739.937989
-11.669404,100,742.355126
993.364071,100,744.769773
-18.726227,100,747.268919
-11.782355,100,749.659942
-16.161314,100,752.120775
-12.887374,100,754.517739
-15.994303,100,756.912512
-18.578378,100,759.441572
-8.986653,100,761.901635
-20.695335,100,764.368681
