#{"t_start": 1654294486.4496756, "env_id": "kelin-v0"}
r,l,t
-18.757403,100,3.21296
-21.730018,100,3.399846
-23.676863,100,3.584413
-29.74349,100,3.753192
-18.80886,100,3.939974
-23.460822,100,4.108077
-15.810639,100,4.253905
-25.321511,100,4.416942
-16.536915,100,4.588927
-23.177126,100,4.760982
-33.327044,100,8.258478
-17.585893,100,11.389776
-12.604725,100,15.346787
-27.138286,100,19.401816
-20.167032,100,23.814114
-20.277411,100,27.476059
-23.977368,100,31.24414
-27.877168,100,35.232617
-17.59568,100,39.296887
-12.67726,100,42.67585
-26.025087,100,46.018587
-24.423135,100,49.601101
-20.210199,100,53.699422
-12.408399,100,57.852592
-16.538402,100,61.891893
-13.049941,100,65.352536
-11.918972,100,68.684137
-10.610201,100,72.097739
-23.429246,100,75.429537
-14.41649,100,78.779639
-10.535734,100,82.297841
-12.980044,100,85.812772
-30.913174,100,89.647202
-24.762287,100,93.538003
-20.694308,100,97.388895
-18.748784,100,101.084666
989.931555,100,105.364041
-13.726219,100,108.927753
-16.677061,100,113.138543
-19.375008,100,117.250311
-20.57416,100,121.294681
-21.37569,100,125.330429
-13.162983,100,129.706593
-17.045334,100,133.582831
-16.696824,100,137.075753
-10.079729,100,140.87192
-26.434482,100,144.842988
-10.698002,100,148.717506
-12.373285,100,152.728868
-13.025567,100,156.752239
-32.350492,100,162.326257
-32.003992,100,166.921369
-28.14714,100,170.933779
-16.403492,100,174.43998
-18.230855,100,177.974471
-26.805476,100,181.213608
-19.799088,100,184.439883
-17.79459,100,188.110291
-15.225145,100,191.465336
-22.879379,100,194.840672
-26.305219,100,198.209659
-20.818195,100,202.057938
986.745729,100,205.996303
-13.35075,100,209.617356
-21.737567,100,212.798501
994.36794,100,216.236183
985.970754,100,219.740275
-17.455068,100,223.210365
995.249292,100,226.465355
-11.23324,100,229.893323
-18.068046,100,233.073442
-24.977458,100,236.602232
-22.16675,100,240.132136
-14.110898,100,244.012069
-17.111679,100,247.790211
-25.566172,100,251.485314
-20.915364,100,255.326935
-10.973843,100,259.229755
-31.935371,100,263.169107
-31.707871,100,267.587141
-17.023256,100,272.236171
-18.511324,100,276.19153
-25.396704,100,279.573132
-28.230176,100,282.993715
-20.281517,100,286.352132
757.178999,100,289.907379
-18.893398,100,293.458345
-12.25438,100,296.857759
-19.389945,100,300.258083
-19.471228,100,303.714278
-17.089445,100,307.070023
-21.996668,100,310.441938
-12.243234,100,313.782583
-24.756803,100,317.294272
-24.564942,100,320.615078
-29.867242,100,324.394538
-26.187907,100,327.763978
-22.247483,100,331.111946
992.827914,100,335.223215
-13.998929,100,339.084149
-28.716637,100,343.779601
-11.314712,100,348.08099
193.731199,100,351.777887
-18.467622,100,355.546769
