#{"t_start": 1654287190.2024398, "env_id": "kelin-v0"}
r,l,t
-30.094048,100,2.460232
-20.446156,100,5.328146
4992.405858,100,8.253865
-21.298436,100,11.225526
-17.09595,100,13.751155
-18.396547,100,16.25435
-16.711553,100,18.673036
-20.506735,100,21.142991
-9.285866,100,24.202766
-8.151235,100,27.010929
-11.957412,100,29.92277
-8.358709,100,32.714475
-22.011901,100,35.222993
-7.65804,100,37.641656
-9.200993,100,40.17301
-19.845312,100,42.663793
-17.980794,100,45.123904
-11.576246,100,47.613828
-12.023888,100,50.163969
-18.54858,100,52.763754
4993.581625,100,55.302954
-21.631839,100,58.313929
-24.282897,100,60.96365
-24.476317,100,63.503662
-6.460215,100,66.003931
-18.048488,100,68.543782
4993.242732,100,71.091847
-21.958041,100,73.578115
-10.291713,100,76.26264
-10.214914,100,78.724074
-19.126073,100,81.343986
-16.844294,100,83.833972
-15.529115,100,86.353688
-19.725703,100,88.843844
-17.024494,100,91.393818
4993.108033,100,94.059656
-17.17118,100,96.526407
-19.096924,100,99.021103
-19.556485,100,101.463762
-12.009005,100,103.968685
-9.250577,100,106.673784
-12.027558,100,109.131521
-10.095211,100,111.799281
-14.372946,100,114.535484
-9.894678,100,117.072749
-16.904694,100,119.611563
-20.644703,100,122.093726
-21.314138,100,124.713539
-8.749345,100,127.393734
-19.244912,100,129.892695
-20.995966,100,132.933643
-21.920767,100,136.194432
-864.179519,100,138.998323
-12.263952,100,141.493925
-21.334562,100,143.977117
-12.018739,100,146.552447
-18.494367,100,149.067318
-9.026101,100,151.633408
-21.606683,100,154.098216
-30.180612,100,156.631714
-17.582748,100,159.46444
-9.95711,100,162.082287
-21.678625,100,164.596267
-15.089475,100,167.093412
-30.624226,100,169.67699
-17.550058,100,172.177808
4993.047179,100,174.733658
-17.006387,100,177.285197
-31.056632,100,179.804405
-14.318717,100,182.303731
-12.155476,100,184.881648
-10.089471,100,187.392431
-12.08459,100,189.88887
-12.10234,100,192.393096
1193.051115,100,195.099802
-16.669042,100,197.643354
4993.652354,100,200.181547
-12.030785,100,202.843289
-9.019747,100,205.383359
-14.778377,100,207.931274
-19.137574,100,210.484301
-11.459063,100,213.117933
-7.197584,100,215.604621
-8.953858,100,218.105215
-16.393258,100,220.632239
-14.62383,100,223.141316
-18.247361,100,225.894485
-20.423461,100,229.023941
-11.273786,100,231.65109
-17.565906,100,234.25429
-10.925304,100,237.078137
-19.472884,100,239.679944
-12.239682,100,242.390249
-15.051996,100,245.135137
4993.150289,100,248.115611
-12.559674,100,250.801107
4993.033652,100,253.417229
-20.879576,100,256.197727
-7.774041,100,258.983338
-16.708936,100,261.703282
-16.018796,100,264.785192
-8.92389,100,268.293894
-24.665722,100,271.696649
-7.52319,100,274.449934
-18.300699,100,277.138134
-24.535383,100,279.91324
-21.636253,100,282.513445
-16.641056,100,285.126066
-9.431204,100,287.979762
-16.520499,100,290.813254
-15.184582,100,293.465935
-18.602095,100,296.04979
-15.079771,100,299.063184
-21.063007,100,302.012992
-19.537193,100,304.714045
-9.197798,100,307.885124
-17.398275,100,310.943195
-9.815987,100,313.913681
-30.183387,100,316.952002
-11.501602,100,319.532721
-11.647856,100,322.096114
-19.864221,100,324.605947
-17.262228,100,327.10279
-20.920963,100,329.602888
-30.66494,100,332.162779
-31.473219,100,334.719989
-16.719453,100,337.192829
-7.137855,100,339.731827
-30.473424,100,342.335764
-8.688803,100,344.993145
-16.834554,100,347.652295
-21.763144,100,350.16399
-16.826978,100,352.813095
-19.920674,100,355.281085
4993.202951,100,357.784611
-21.70307,100,360.291047
-24.721747,100,362.803032
-19.798221,100,365.342968
-21.366605,100,367.833045
-16.354511,100,370.331078
-24.193515,100,372.942737
-18.432906,100,375.493127
-18.613157,100,378.192701
-19.189652,100,381.060704
-19.290035,100,384.276459
-11.255235,100,387.096024
-8.390932,100,389.630131
-18.695639,100,392.50271
-20.632894,100,395.34879
-14.439997,100,398.321024
-22.280224,100,401.035559
-18.977363,100,403.94223
-10.842561,100,406.686577
-18.497502,100,409.528813
-21.433813,100,412.270619
2393.630402,100,414.871881
-16.896916,100,417.991933
-22.044535,100,420.795838
-9.263191,100,423.352766
4993.012513,100,425.813023
-22.442643,100,428.467733
-12.005968,100,430.91784
-9.106952,100,433.612632
-14.899415,100,436.351686
-12.014148,100,439.018737
-10.223898,100,441.792935
4992.877614,100,444.400717
-17.113418,100,447.486405
-7.94794,100,450.327522
-22.261995,100,453.0406
-20.969319,100,455.877679
-16.584107,100,458.485639
-31.965905,100,461.087408
-20.270053,100,463.865374
-9.036034,100,466.526158
-17.783457,100,469.241292
-10.004929,100,472.058436
-17.133494,100,474.623492
-16.303593,100,477.360453
-21.354454,100,480.067419
-10.222102,100,482.72293
-25.224623,100,485.311584
-12.24804,100,487.985606
-16.979557,100,490.824436
-9.164428,100,493.803435
-19.564414,100,496.452383
4992.987303,100,499.226254
-19.545499,100,501.936799
-30.7777,100,504.642857
-20.762511,100,507.192997
-22.072185,100,509.860596
-30.946782,100,512.632726
-14.638724,100,515.272427
-8.936989,100,517.823327
-11.602265,100,520.443738
-24.554707,100,523.282273
-21.439481,100,526.072716
-20.551726,100,528.710204
-20.782676,100,531.725382
-7.254632,100,534.22936
-22.019526,100,537.009391
-22.911641,100,539.56531
-16.612412,100,542.175696
-30.6416,100,544.634303
-11.981172,100,547.284182
-19.010279,100,549.950567
-20.889704,100,552.500449
-18.14182,100,555.116364
-19.67802,100,558.124428
-18.355212,100,561.220735
-30.496324,100,563.730271
-21.102102,100,566.769577
