#{"t_start": 1654298007.750738, "env_id": "kelin-v0"}
r,l,t
-18.003429,100,4.788369
-26.163081,100,5.142066
-23.425026,100,5.443463
-23.201085,100,5.787553
-17.820881,100,6.031458
-23.771996,100,6.249888
-20.973428,100,6.462417
-20.690299,100,6.664336
-30.911737,100,6.89452
-25.602504,100,7.371519
-18.409026,100,10.398669
-30.868782,100,13.185057
-17.684865,100,15.870206
-23.265852,100,18.664689
-17.3777,100,21.281051
-28.317174,100,23.941507
-26.378685,100,26.7933
-23.652173,100,29.721223
-18.231641,100,32.701524
-23.033771,100,35.690506
-23.721965,100,38.940863
-23.135803,100,41.924838
-30.996388,100,44.825168
-26.392176,100,47.749376
-23.724407,100,50.779477
-30.883331,100,53.659151
-25.941554,100,56.699477
-20.997568,100,59.972401
-21.139335,100,63.355346
-28.795924,100,66.477208
-17.647098,100,69.6283
-18.265658,100,72.757159
-17.378201,100,76.11279
-25.622404,100,79.223752
-22.361857,100,82.397248
-27.500328,100,85.51426
-26.068779,100,88.815046
-22.771039,100,91.954119
-29.86247,100,95.299254
-25.397913,100,98.508025
-19.612702,100,101.878231
-30.379489,100,105.016616
-28.593722,100,108.105407
-27.891197,100,111.189074
-25.671844,100,114.595198
-27.822401,100,117.691711
-20.472364,100,120.791109
-25.765258,100,123.906144
-26.457594,100,127.156535
-31.489862,100,130.254482
-28.990185,100,134.488149
-28.417828,100,138.05491
-23.532533,100,141.347042
-26.730614,100,144.488024
-25.648324,100,147.577388
-28.038178,100,150.706487
-17.150677,100,159.006934
-141.906966,100,162.585313
-159.134491,100,165.981583
-22.600847,100,169.185764
-29.085853,100,172.442935
-31.965512,100,175.586155
-26.302103,100,178.696944
-27.371203,100,181.891741
-26.961824,100,185.469625
-26.903674,100,188.661924
-24.424378,100,191.834826
-27.718274,100,195.098766
-25.060419,100,198.411837
-27.62856,100,201.638679
-24.598984,100,204.796682
-23.772404,100,208.034097
-18.701621,100,211.39634
-32.190372,100,214.556406
-22.044496,100,217.715769
-31.995163,100,220.854105
-28.739675,100,224.097574
-26.668673,100,227.319329
-32.535018,100,230.512231
-29.22661,100,233.651103
-23.727757,100,237.031329
-32.016376,100,240.258902
-32.515195,100,243.413043
-20.465936,100,246.714707
-26.379703,100,250.056371
-20.502988,100,253.251874
-25.970536,100,256.47637
-32.344972,100,259.532672
-17.843025,100,262.864506
-28.91312,100,266.026393
-28.747454,100,269.191373
-26.099381,100,272.323642
-26.241224,100,275.672576
-28.822018,100,278.80695
-28.833518,100,282.049771
-28.409283,100,285.218151
-20.498133,100,288.535135
-25.737171,100,291.708388
-28.296034,100,294.84203
-20.506558,100,297.991713
-20.271307,100,301.379397
-17.700689,100,304.561641
-17.307947,100,307.744843
-28.217699,100,311.024314
-31.363956,100,314.387838
-20.210899,100,317.536847
-25.526776,100,320.697957
-31.90048,100,323.87457
-31.410281,100,327.210975
-20.457274,100,330.357551
-25.634465,100,333.576129
-25.764436,100,336.71529
-27.944901,100,340.02051
-28.597773,100,343.233059
-23.686923,100,346.434856
-31.008437,100,349.601359
-20.759771,100,352.949275
-18.361758,100,356.1171
-20.134436,100,359.31448
-20.647403,100,362.504365
-30.930341,100,365.860358
-23.494131,100,369.093755
-23.524649,100,372.241605
-31.000441,100,375.342566
-23.537779,100,378.692442
-20.602761,100,381.878602
-26.01793,100,385.037755
-26.173405,100,388.23884
-28.605575,100,391.567702
-23.40833,100,394.747815
-20.799195,100,397.890482
-20.521,100,401.027575
-28.006925,100,404.37826
-31.219699,100,407.634218
-25.552157,100,411.674581
-25.739015,100,415.125452
-25.728078,100,418.488508
-25.428886,100,421.701504
-30.997146,100,424.857111
-19.788083,100,428.010863
-17.092255,100,431.405453
-19.842888,100,434.591697
-16.718755,100,437.77302
-23.086277,100,440.928654
-25.812039,100,444.256671
-25.885887,100,447.478153
-20.344559,100,450.652508
-16.995788,100,453.854087
-19.940959,100,457.228244
-16.981233,100,460.39168
-31.443813,100,463.718277
-28.484785,100,466.930115
-22.826658,100,470.356433
-31.036956,100,473.503961
-30.009584,100,476.668842
-17.3813,100,479.830574
-31.040255,100,483.331737
-27.926513,100,486.488017
-31.406351,100,489.644412
-31.369394,100,492.814256
-22.685274,100,496.192533
-30.897476,100,499.348485
-17.025805,100,502.496322
-28.043452,100,505.684962
-30.381446,100,509.041021
-17.085311,100,512.244375
-24.882459,100,515.440897
-27.536415,100,518.540431
-16.594404,100,521.864483
-24.807708,100,525.005398
-30.781206,100,528.126777
-30.777457,100,531.328699
-22.177608,100,534.701178
-22.594849,100,537.858671
-20.092535,100,541.005066
-22.876518,100,544.147527
-25.378322,100,547.540592
-74.727519,100,550.720456
-19.257384,100,553.886205
-24.924285,100,557.057298
-27.192547,100,560.450242
-30.938029,100,563.621506
-49.433983,100,566.814521
-22.850494,100,570.020075
-22.153428,100,573.391329
-27.469604,100,576.578034
-124.542278,100,580.089673
-28.119435,100,583.724832
-24.770348,100,587.224817
-24.945676,100,590.407466
-30.102405,100,593.614051
-22.713369,100,596.814938
-25.719942,100,600.117011
-30.883024,100,603.285851
-28.613574,100,606.469498
-23.561807,100,609.651657
-20.255215,100,613.017643
-26.011537,100,616.268346
-30.466638,100,619.435104
-24.928989,100,622.628014
-28.417643,100,626.053494
-25.017793,100,629.237375
-30.677866,100,632.486291
-31.203423,100,635.685649
-20.827834,100,639.054178
-28.521086,100,642.27553
-25.840598,100,645.463821
-25.292098,100,648.66734
-27.791722,100,652.00411
-27.170382,100,655.206178
-29.707691,100,658.41109
-19.582913,100,661.617049
-204.337643,100,665.042917
-16.977924,100,668.252012
-28.154659,100,671.448036
-22.072098,100,674.635711
-27.287034,100,678.017135
-22.506701,100,681.207321
-22.567382,100,684.441529
-24.779073,100,687.593476
-27.542682,100,691.016984
-16.589918,100,694.237368
-16.715859,100,697.458439
-24.843888,100,700.667355
-27.672313,100,704.164428
-27.871945,100,707.399606
-25.104511,100,710.793751
-22.570445,100,714.01051
-25.351494,100,717.381522
