#{"t_start": 1654275191.4888535, "env_id": "kelin-v0"}
r,l,t
-16.61308,100,2.563083
-18.521419,100,4.631867
-19.222901,100,6.515907
-14.96468,100,8.446898
-12.495741,100,10.544074
-10.363631,100,12.837269
-19.301603,100,15.045229
-14.816899,100,17.710397
-31.18792,100,20.555335
-20.913682,100,23.233178
-11.98284,100,26.13283
-12.759464,100,29.656435
993.036886,100,32.247237
-31.022283,100,34.85288
-24.899224,100,37.431082
-20.635914,100,40.022849
-21.152958,100,42.47426
-14.74259,100,44.987234
578.59738,100,47.545477
463.485264,100,50.345273
-19.320581,100,53.05946
-110.175172,100,55.819536
-8.972953,100,58.946086
-20.193663,100,61.609735
-18.952757,100,64.283949
-12.1597,100,67.317549
168.49332,100,70.143365
-21.184025,100,72.931907
-9.569447,100,75.50506
-17.803782,100,78.174877
-31.001082,100,81.266736
-18.456314,100,84.169864
-20.937528,100,86.99848
-11.936102,100,89.719585
-12.148118,100,92.555231
-7.111562,100,95.105085
-17.769564,100,97.685019
-15.784561,100,100.192847
992.894421,100,102.753818
-19.413732,100,105.274945
-11.961072,100,107.81393
-18.213742,100,110.395169
-9.965119,100,112.8606
993.053217,100,115.354741
-21.239115,100,117.874019
-9.801245,100,120.414745
-18.069994,100,122.967074
-19.087885,100,125.455472
-25.572434,100,127.983231
-18.652733,100,130.604709
-9.792859,100,133.645848
-22.242587,100,136.674711
-8.955774,100,139.234392
-9.789471,100,141.906133
-7.598591,100,144.382507
-15.182314,100,147.078933
-9.449719,100,149.561771
-19.804894,100,152.052647
-189.318386,100,154.615077
-21.199317,100,157.109833
-17.607306,100,159.814937
-21.107843,100,162.440604
-9.349088,100,164.876932
-15.887389,100,167.425488
-21.060478,100,170.154737
-21.142331,100,172.671439
-7.028685,100,175.244942
-19.087234,100,178.021044
-31.078054,100,180.643541
-9.138263,100,183.14473
678.57059,100,185.636241
-9.573878,100,188.167698
-25.673601,100,190.664727
-16.157239,100,193.174839
-19.024843,100,195.740611
-9.602921,100,198.234863
-8.518916,100,200.873746
-18.258456,100,203.385599
388.415781,100,205.863498
-20.330218,100,208.402682
-9.647224,100,210.982641
-15.765602,100,213.464511
-21.146306,100,216.000708
-18.88186,100,218.625669
-12.817115,100,221.30272
-11.869754,100,223.804451
-16.039761,100,226.334592
-17.585438,100,228.848786
-24.855907,100,231.402803
-20.170707,100,233.897662
-9.558675,100,236.652812
-17.970877,100,239.12696
-21.665463,100,241.684406
-21.027992,100,244.266518
-9.757467,100,246.795632
-11.957744,100,249.352602
-21.045806,100,251.864498
-12.452551,100,254.530511
728.75325,100,257.05117
-12.751235,100,259.622321
-15.960178,100,262.211663
-12.655932,100,264.992548
-11.850973,100,267.534535
-11.81588,100,270.059233
-12.015364,100,272.59267
992.886599,100,275.112326
-9.753002,100,277.614353
-14.852321,100,280.112668
-12.638719,100,282.624465
-17.557869,100,285.154213
-17.230277,100,287.644467
-17.832942,100,290.192183
448.579264,100,292.722389
-21.347895,100,295.303381
-9.735459,100,297.824227
-21.460685,100,300.324289
992.965423,100,302.892533
-9.005808,100,305.409653
-7.543807,100,307.943466
-18.934504,100,310.514264
-11.78958,100,313.062367
-21.047001,100,315.604457
992.856106,100,318.206046
-12.07592,100,320.705215
-11.878633,100,323.33446
-17.343115,100,325.946659
-30.321115,100,328.53229
-15.380398,100,331.401298
-9.072799,100,334.244264
-11.950585,100,336.873437
20.625201,100,339.543167
-24.016551,100,342.532541
-19.456221,100,345.474097
-8.91282,100,348.102448
-19.234959,100,350.897265
-25.480929,100,353.702479
-9.601665,100,356.494083
-17.842313,100,359.144686
-15.526566,100,361.64221
993.069073,100,364.181948
-15.931735,100,366.714368
-17.395511,100,369.287136
-11.686379,100,371.834233
-19.820651,100,374.613503
-30.636755,100,377.467918
-25.258194,100,380.22805
143.130052,100,383.039749
-18.453259,100,385.724185
-17.791868,100,388.345211
-30.667821,100,391.423609
-15.419185,100,394.582546
993.06842,100,397.421606
-8.864948,100,400.472853
130.667846,100,403.341775
-30.404351,100,406.072075
-24.780131,100,408.888991
-37.755938,100,411.921521
-18.834557,100,414.947888
-11.947908,100,418.005421
-15.169169,100,420.698859
-8.740174,100,423.708187
-20.016386,100,426.302411
-20.216145,100,429.28199
-30.330964,100,431.922261
-21.936072,100,434.594023
-12.47097,100,437.252843
-12.106037,100,440.116844
-325.079735,100,442.726396
-15.731479,100,445.69165
-17.269307,100,448.61576
-9.598656,100,451.331824
698.863938,100,454.468655
-22.298856,100,457.227192
-8.991566,100,460.124881
-9.802827,100,463.344033
-17.68123,100,466.056712
-18.606809,100,468.644914
-19.91093,100,471.277806
538.584953,100,473.786053
-18.371573,100,476.277745
-15.893341,100,478.818669
-21.910718,100,481.452017
-139.851631,100,483.892823
-20.4965,100,486.386413
-17.483631,100,488.832961
-12.333314,100,491.313908
-15.125561,100,493.738492
-9.403875,100,496.192849
-19.928275,100,498.670405
-19.845359,100,501.135102
-15.925797,100,503.565702
-15.304022,100,505.985573
-17.958567,100,508.449839
-9.200386,100,510.927077
-12.033118,100,513.313784
-12.554388,100,515.773576
-15.88315,100,518.216657
-15.9116,100,520.713367
-19.394238,100,523.112342
-19.073134,100,525.609661
-9.476097,100,528.049372
-17.858457,100,530.505193
-20.990564,100,532.928496
992.808227,100,535.375198
-31.290281,100,537.842717
-9.756879,100,540.342305
-19.257651,100,542.747086
-30.967417,100,545.158614
-15.946202,100,547.58516
-25.162598,100,550.016272
-20.083981,100,552.428596
-7.681553,100,554.873589
-11.996065,100,557.390589
-9.198709,100,559.802541
-21.633187,100,562.251611
-30.306128,100,564.710169
-30.757638,100,567.340398
-29.86514,100,569.7709
992.853854,100,572.168375
688.45089,100,574.562396
-7.898112,100,577.010051
-18.387284,100,579.393748
-7.48202,100,581.807602
433.361141,100,584.201952
-17.329504,100,586.647357
-11.940565,100,589.09098
-20.397224,100,591.505586
-20.1422,100,593.906911
-17.319643,100,596.34023
-9.842449,100,598.753025
993.060439,100,601.180566
-12.490741,100,603.581779
-21.751046,100,606.053407
993.087552,100,608.476712
-18.287241,100,610.91211
-17.526862,100,613.311693
-24.759052,100,615.761117
