#{"t_start": 1654289710.4320152, "env_id": "kelin-v0"}
r,l,t
-10.218151,100,3.026952
-11.836363,100,3.200222
-16.93501,100,3.394917
-21.129519,100,3.604795
-12.360974,100,3.808873
-20.655889,100,3.9907
-15.014896,100,4.177663
-11.173403,100,4.375764
-14.431637,100,4.563791
-9.288601,100,4.768784
-14.609208,100,7.969348
-11.147051,100,11.337169
-12.364877,100,14.515977
-21.155676,100,18.003103
-21.287712,100,21.076744
-8.665995,100,24.453189
-16.732539,100,27.46355
-15.046777,100,31.014583
-20.85442,100,34.681811
-20.68179,100,37.931731
-16.285746,100,41.290485
-19.723916,100,44.439215
-8.809133,100,47.656944
-20.493293,100,50.727813
-20.424989,100,53.937698
-16.96366,100,56.934885
-17.027885,100,59.906207
-16.753478,100,63.021084
-19.268022,100,66.191888
-19.750393,100,69.397268
-8.726734,100,72.736037
-11.631948,100,76.341507
-18.854967,100,79.827321
-9.918199,100,83.315826
-9.046591,100,86.613703
-20.035965,100,89.702502
-16.47897,100,92.880873
993.082171,100,96.252661
-21.221468,100,99.126478
-16.216079,100,102.050344
-12.49932,100,105.212259
993.080503,100,108.659579
-30.34388,100,111.600793
-11.95122,100,114.51967
-19.820704,100,117.612611
-7.386896,100,120.580114
-20.442068,100,123.486179
-10.465747,100,126.388108
-8.445136,100,129.526621
-16.594635,100,132.499359
-31.439574,100,136.554215
-21.025646,100,140.112577
-12.367327,100,143.333148
993.120883,100,147.04977
-20.023283,100,150.0367
-20.369179,100,153.025732
-18.581748,100,156.216815
-7.304832,100,159.227181
-16.992979,100,162.174315
-19.224422,100,165.150383
-16.472549,100,168.324638
-9.200928,100,171.649751
-16.615074,100,174.666272
-7.544345,100,177.665325
-14.619891,100,180.843458
993.339416,100,184.310373
-22.068378,100,187.266788
-10.379011,100,190.271793
-24.359664,100,193.485469
993.386254,100,197.03339
-12.296981,100,200.018951
-22.147124,100,203.00577
-22.003811,100,206.19559
-6.920104,100,209.166411
-23.9899,100,212.14616
-16.221101,100,215.176399
-11.389994,100,218.365207
-16.524424,100,221.319324
-11.375321,100,224.281023
-19.693655,100,227.268667
-19.016041,100,230.516156
-12.301218,100,233.499689
-11.441334,100,236.500666
-8.527741,100,239.511932
-20.273837,100,242.707803
-20.917895,100,245.705021
-16.694457,100,248.684048
-11.227846,100,251.696273
-30.122733,100,254.869081
-19.763532,100,257.885011
-7.531086,100,260.893253
-7.344196,100,263.868527
-11.136464,100,267.088003
-22.582837,100,270.116035
-23.668404,100,273.205212
-19.11399,100,277.002863
-22.051978,100,280.356246
-19.303934,100,283.761794
-20.324184,100,287.388972
-19.838391,100,290.657252
-21.894434,100,294.765058
-12.349253,100,298.385983
-8.706475,100,301.516213
993.135812,100,304.6531
-22.082437,100,307.724294
-18.935301,100,310.892756
-11.346534,100,313.95086
-8.474865,100,317.141742
-8.462341,100,320.316001
-19.989371,100,323.376092
993.207472,100,326.654855
-22.092057,100,329.722022
-16.804278,100,332.788973
-24.211485,100,335.93594
992.805786,100,339.256246
-21.243107,100,342.303945
-20.523539,100,345.445795
-21.717232,100,348.574939
-24.386158,100,351.664947
-11.200876,100,354.733945
993.413948,100,357.905876
993.452679,100,361.165168
-30.953158,100,364.406075
-8.467783,100,367.525859
-11.156735,100,370.595773
-10.359285,100,373.670081
-20.255191,100,377.32127
-18.735059,100,381.025651
-9.265467,100,384.660472
-16.597138,100,388.315826
-31.30257,100,391.486883
-14.661051,100,394.54347
-22.181599,100,397.873853
-22.222128,100,400.89097
-20.460936,100,403.92254
-12.948898,100,406.949234
-11.505204,100,410.188808
-7.778296,100,413.205583
-14.502018,100,416.217883
-7.629151,100,419.172986
-21.381584,100,422.390277
-19.427069,100,425.406241
-18.546123,100,428.418069
-21.720393,100,431.410777
-16.472526,100,434.615644
-14.537819,100,437.608706
-11.297827,100,440.624521
-16.295589,100,443.598132
-9.191887,100,446.978652
-16.386527,100,450.095939
-21.095496,100,454.230366
-8.53149,100,457.639929
-11.391085,100,460.84898
-8.56808,100,463.843362
-20.567691,100,466.877426
-19.055047,100,469.875414
-21.40724,100,473.085625
993.316065,100,476.65189
993.37066,100,480.108362
-12.483595,100,483.135945
-12.400038,100,486.565608
-8.762579,100,489.703464
-24.586436,100,493.015301
-16.740097,100,496.158385
-9.09139,100,499.443372
-23.98833,100,502.451781
-21.390554,100,505.415524
-14.874812,100,508.441711
-21.841785,100,511.654548
-25.129691,100,514.655109
-12.141488,100,517.624433
-11.091164,100,520.674778
-18.600298,100,523.825339
-10.689379,100,526.818389
-19.279119,100,529.845209
-12.220009,100,532.803234
-19.862769,100,536.025381
-11.099606,100,539.020387
-20.956944,100,542.006267
-20.185829,100,545.171256
-11.277921,100,548.783965
-30.873623,100,552.205271
-11.274175,100,555.784275
-19.792822,100,558.858674
-19.920413,100,562.01422
-17.169712,100,565.716283
-16.634186,100,569.116029
-12.854064,100,572.585109
993.265647,100,575.805375
-20.901824,100,578.911666
-21.94755,100,582.527977
993.240318,100,586.781785
992.712568,100,590.985946
-8.366823,100,594.29908
992.933667,100,597.495523
-24.194542,100,600.564231
-10.21207,100,603.643369
-18.975459,100,606.70904
993.318446,100,609.882821
-30.143412,100,613.092137
-30.584816,100,616.933863
-21.890837,100,620.614365
-16.578803,100,623.703985
-11.118402,100,626.76784
-22.032795,100,629.883922
-14.841325,100,633.155407
-20.61114,100,636.235093
-9.327552,100,639.361889
-11.277514,100,642.455154
-19.602838,100,645.5531
-20.932827,100,648.775171
23.424229,100,652.144291
-30.711156,100,655.245006
-12.393198,100,658.345245
-18.741027,100,661.423163
-14.47548,100,664.496954
-10.94137,100,667.632774
-12.630511,100,670.654292
-16.530813,100,673.725009
-11.050827,100,676.935352
-16.720848,100,680.023101
993.236074,100,683.234154
-6.735644,100,686.355792
-30.490817,100,690.334108
-19.90406,100,693.79491
-30.414907,100,697.233923
-19.315903,100,700.679121
-10.453882,100,704.094846
-10.486161,100,707.615702
-14.599383,100,711.15483
-20.834528,100,714.28488
-30.707624,100,717.372903
-16.877075,100,720.625079
-14.636758,100,723.804839
-8.75203,100,726.91971
-20.569549,100,730.364814
-21.292859,100,733.683811
-18.400265,100,737.076791
-20.677001,100,740.378408
-21.005603,100,744.025166
993.430996,100,747.912591
-10.810862,100,751.543801
-14.393163,100,754.672962
-30.530018,100,757.971674
-20.435112,100,761.478098
-11.314958,100,764.777674
-9.359742,100,768.116061
-18.963451,100,771.211543
-10.377807,100,774.595392
-11.048127,100,777.999421
-12.302144,100,781.425741
-16.485141,100,785.265028
-11.348178,100,788.92092
-16.580045,100,792.411389
-17.407731,100,795.58484
-9.076462,100,798.754872
-20.692545,100,801.979162
-20.056818,100,805.103367
-16.699173,100,808.192433
-19.583184,100,811.304672
-22.212962,100,814.444978
-12.249305,100,817.484579
-20.195281,100,820.585397
-9.328207,100,823.724321
-19.825849,100,827.027397
-20.24351,100,830.174448
-7.606732,100,833.244579
-11.252164,100,836.333501
-21.289506,100,839.464353
-16.680755,100,842.534566
-31.208102,100,845.624492
-18.618334,100,848.687595
-10.446074,100,851.784452
-18.547918,100,854.872129
-11.561942,100,857.953194
-21.834202,100,861.005494
-6.775703,100,864.158016
-12.806743,100,867.204354
-21.547689,100,870.26437
-7.087026,100,873.362586
-12.335485,100,876.514629
-9.41231,100,879.554663
-22.300316,100,882.644549
-17.998547,100,885.778896
-11.192089,100,888.894595
-11.338945,100,891.974391
-15.054024,100,895.097201
-12.173759,100,898.156552
-19.704125,100,901.2723
-12.925708,100,904.354413
-12.992978,100,907.414153
-12.522647,100,910.492029
993.37786,100,913.802246
-9.271384,100,917.025894
-24.881725,100,920.063604
-9.44786,100,923.148495
-12.504677,100,926.28706
-22.141825,100,929.371884
-11.340211,100,932.445215
-7.598537,100,935.65359
-12.151793,100,939.226956
-11.347915,100,942.304299
-14.775299,100,945.511865
-15.019055,100,948.613143
-19.696591,100,951.764004
-24.782016,100,954.868587
-19.122322,100,957.973137
-20.731593,100,961.108358
-19.430559,100,964.214898
-9.442773,100,967.314332
-10.121686,100,970.392034
-24.321918,100,973.533987
-21.700121,100,976.683054
-21.815507,100,979.724167
-30.288503,100,982.864072
-19.105711,100,985.932222
-22.181312,100,989.014077
-14.351607,100,992.050531
-20.611143,100,995.114261
-21.806337,100,998.203961
-11.374492,100,1001.29409
-10.081129,100,1004.403224
-17.984339,100,1007.504056
-8.721294,100,1010.604221
-19.19441,100,1014.074765
-11.074729,100,1017.623942
-18.503138,100,1020.688038
-12.412895,100,1023.786613
-17.517806,100,1026.952791
-11.374481,100,1030.185086
-17.959767,100,1033.601278
-11.307244,100,1036.724174
-20.75473,100,1039.86491
-24.304493,100,1043.205836
-9.316142,100,1046.997744
-20.895634,100,1050.921718
-9.219278,100,1054.322955
-12.205837,100,1057.453018
-20.818129,100,1060.776356
-8.454946,100,1064.342978
-12.36902,100,1068.176561
-21.844941,100,1071.861744
-17.401253,100,1075.603891
-22.353117,100,1079.335651
-17.163042,100,1082.894759
-20.720496,100,1086.064017
-20.628762,100,1089.073751
-8.599572,100,1092.07332
-12.61378,100,1095.263567
-12.804803,100,1098.548464
-17.046406,100,1101.909676
-8.969892,100,1104.973749
-17.238818,100,1108.186748
-20.969295,100,1111.242467
-10.213345,100,1114.243758
-22.258853,100,1117.292593
-24.499761,100,1120.493648
-19.755079,100,1123.495923
-9.216392,100,1126.561543
-9.383711,100,1129.566526
-11.276918,100,1132.819564
993.070753,100,1136.412362
-11.251386,100,1139.423384
-8.59114,100,1142.40626
-12.850855,100,1145.64257
-9.523898,100,1148.644373
-21.265957,100,1151.806733
-20.792601,100,1154.802807
993.109827,100,1158.581291
-9.257124,100,1161.582419
-30.104462,100,1164.603312
-7.946868,100,1167.613634
-11.099011,100,1170.896629
-14.384844,100,1173.883868
-21.407024,100,1176.92848
993.233387,100,1180.410548
-14.440364,100,1183.636494
-21.202129,100,1186.631226
-31.086227,100,1189.673601
-21.507269,100,1192.919134
-11.370326,100,1196.226869
-12.790112,100,1199.245089
-31.201339,100,1202.479087
-17.192728,100,1206.250422
-21.97729,100,1209.541079
-20.768086,100,1213.056632
-10.493709,100,1216.373367
-19.787513,100,1219.832455
-19.486709,100,1223.450087
-15.299988,100,1226.508176
-12.455961,100,1229.739471
-11.207014,100,1232.889318
-17.794343,100,1236.094152
-20.873754,100,1239.104016
-15.434885,100,1242.271092
-20.848907,100,1245.27984
-30.315058,100,1248.676072
-19.476362,100,1251.894762
-15.477634,100,1255.188361
993.30829,100,1259.023802
-16.700509,100,1262.279868
-11.572715,100,1265.411767
503.856908,100,1268.651984
-9.144344,100,1271.813413
-22.229362,100,1274.943647
-20.229612,100,1278.063253
-20.109112,100,1281.174324
-11.103129,100,1284.278488
-11.326157,100,1287.403886
-10.730782,100,1290.660986
-20.652275,100,1293.833036
993.028678,100,1297.143489
-11.439392,100,1300.341215
-6.669699,100,1303.412341
-16.846321,100,1306.550261
-10.805349,100,1309.761942
-7.489668,100,1312.842145
-10.480136,100,1315.963142
-20.918373,100,1319.26145
-14.62579,100,1322.306613
-11.355116,100,1325.55948
-8.984531,100,1328.625569
-17.236219,100,1331.813321
-18.716087,100,1334.873018
-20.083803,100,1338.003196
-17.212074,100,1341.142806
-12.252082,100,1344.241941
-7.317778,100,1347.340885
-17.27749,100,1350.848827
-17.921045,100,1353.973965
-11.792288,100,1357.083028
-11.275676,100,1360.14597
-6.912175,100,1363.276484
-11.606518,100,1366.42464
-14.875082,100,1369.850898
-6.793195,100,1373.012971
-22.177432,100,1376.11283
-9.477484,100,1379.372722
-12.182156,100,1382.462819
-14.898816,100,1385.582908
992.977266,100,1388.852
-22.644728,100,1391.983311
-20.254124,100,1395.132959
-14.433713,100,1398.235475
-20.060329,100,1401.442758
993.490262,100,1404.750738
-8.697997,100,1407.903054
-12.083014,100,1410.986555
-18.607777,100,1414.110945
-9.25422,100,1417.230873
-30.780667,100,1420.370544
-9.113673,100,1423.49362
-17.149157,100,1426.623825
-22.719137,100,1429.78072
-19.681525,100,1432.9174
-20.594186,100,1436.151936
-14.668047,100,1439.4582
-11.98533,100,1442.998789
-12.147739,100,1446.49262
-12.028762,100,1449.622628
-20.094219,100,1452.958464
-30.645886,100,1456.070735
-12.380087,100,1459.232708
-15.376505,100,1462.442623
-22.724438,100,1465.602849
-10.642363,100,1468.800735
-17.502809,100,1471.992479
-10.394193,100,1475.166154
-17.217339,100,1478.341545
-12.789236,100,1481.63278
-19.292564,100,1484.768311
-15.433979,100,1487.932372
-6.792503,100,1491.142408
993.341742,100,1494.410852
-16.614896,100,1497.562452
-12.453276,100,1500.710221
-12.119952,100,1503.95249
-12.31691,100,1507.103704
-12.463693,100,1510.241513
-15.692379,100,1513.432516
-10.483956,100,1516.602262
-22.523463,100,1519.792569
-16.748693,100,1523.233534
-15.382582,100,1526.515897
-21.243646,100,1529.612552
-20.334925,100,1532.872158
-20.64671,100,1536.690477
-18.396976,100,1540.468037
993.485542,100,1544.520282
-20.681768,100,1547.795336
-15.490291,100,1551.122102
-20.100458,100,1554.192141
-19.578123,100,1557.476286
-22.240451,100,1560.642467
-8.303432,100,1563.812202
-8.328929,100,1566.982469
-22.198188,100,1570.153781
993.605488,100,1573.442275
-18.474274,100,1576.733002
-20.25515,100,1579.915912
-17.304303,100,1583.211253
